01/12 10:40:00 FINE sim.Admin|Log for simulation 6 started
************************************************************
* Log for simulation 6 started
************************************************************


01/12 10:40:00 INFO sim.TACAdxSimulation|TACAA Simulation 6 is setting up...
01/12 10:40:00 INFO sim.TACAdxSimulation|Created Adx Agent
01/12 10:40:00 INFO sim.TACAdxSimulation|Created Demand Agent
01/12 10:40:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
01/12 10:40:00 FINE sim.ExternalAgent|WizardOfAdz setup with address adv1
01/12 10:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
01/12 10:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
01/12 10:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
01/12 10:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
01/12 10:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
01/12 10:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
01/12 10:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
01/12 10:40:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
01/12 10:40:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
01/12 10:40:00 INFO agents.DemandAgent|setting up...
01/12 10:40:00 FINE agents.DemandAgent|Finished setup
01/12 10:40:00 INFO sim.Simulation|***** START OF TIME 0 *****
01/12 10:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=4091928, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.204824899806666, mobileCoef=2.0640323346502814, budgetMillis=5590, advertiser=adv1]
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@13f1d98
01/12 10:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=8429901, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.55744089938135, mobileCoef=1.761148909823024, budgetMillis=3312, advertiser=DummyAdnetwork]
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@18857c
01/12 10:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2386272, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.1112341563722015, mobileCoef=2.267862844591461, budgetMillis=9540, advertiser=DummyAdnetwork-2]
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@1ce6a61
01/12 10:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=14099356, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.5958083522104847, mobileCoef=2.221669367012312, budgetMillis=3037, advertiser=DummyAdnetwork-3]
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@626d9f
01/12 10:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=21259098, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.4930854286297195, mobileCoef=1.754076710894125, budgetMillis=10490, advertiser=DummyAdnetwork-4]
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@1f99db1
01/12 10:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=4952081, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.675724871418263, mobileCoef=2.0870084506197895, budgetMillis=9540, advertiser=DummyAdnetwork-5]
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@11001d2
